Hotel,Location,Type,Rating,Price,Segment,Sentiment
Marriott Goa,Goa,Beach,4.5,23841,Luxury,Positive
Lemon Tree Goa,Goa,Beach,3.2,11977,Mid-range,Positive
Hyatt Goa,Goa,Beach,4.4,15626,Luxury,Positive
Oberoi Goa,Goa,Beach,4.9,18466,Luxury,Positive
Hilton Goa,Goa,Beach,3.6,5810,Mid-range,Positive
Hilton Goa,Goa,Beach,4.0,2041,Budget,Positive
Hilton Goa,Goa,Beach,3.5,24383,Luxury,Positive
Sarovar Goa,Goa,Beach,4.0,6192,Mid-range,Positive
Hyatt Andaman,Andaman,Beach,3.3,15777,Luxury,Positive
Marriott Andaman,Andaman,Beach,4.1,23641,Luxury,Positive
FabHotel Andaman,Andaman,Beach,4.4,3795,Budget,Positive
Lemon Tree Andaman,Andaman,Beach,4.7,15834,Luxury,Positive
Taj Andaman,Andaman,Beach,4.3,7581,Mid-range,Positive
Radisson Andaman,Andaman,Beach,4.1,6386,Mid-range,Positive
Oberoi Andaman,Andaman,Beach,4.9,19715,Luxury,Negative
Sarovar Andaman,Andaman,Beach,3.7,18590,Luxury,Positive
Treebo Pondicherry,Pondicherry,Beach,4.7,24087,Luxury,Neutral
Ginger Pondicherry,Pondicherry,Beach,3.7,20975,Luxury,Positive
Hilton Pondicherry,Pondicherry,Beach,3.6,7985,Mid-range,Positive
Treebo Pondicherry,Pondicherry,Beach,4.5,24691,Luxury,Positive
OYO Premium Pondicherry,Pondicherry,Beach,3.4,1830,Budget,Neutral
ITC Pondicherry,Pondicherry,Beach,3.1,19624,Luxury,Positive
Treebo Pondicherry,Pondicherry,Beach,4.7,23001,Luxury,Positive
Taj Pondicherry,Pondicherry,Beach,3.6,2993,Budget,Positive
ITC Pondicherry,Pondicherry,Beach,3.5,15395,Luxury,Positive
Hyatt Kovalam,Kovalam,Beach,4.7,24335,Luxury,Neutral
Lemon Tree Kovalam,Kovalam,Beach,4.0,19617,Luxury,Positive
Ginger Kovalam,Kovalam,Beach,3.9,4105,Mid-range,Positive
Lemon Tree Kovalam,Kovalam,Beach,4.1,12671,Luxury,Neutral
Hyatt Kovalam,Kovalam,Beach,3.8,7358,Mid-range,Neutral
Marriott Kovalam,Kovalam,Beach,4.2,23657,Luxury,Neutral
Hilton Kovalam,Kovalam,Beach,4.6,23347,Luxury,Neutral
Radisson Kovalam,Kovalam,Beach,3.4,12228,Luxury,Positive
Leela Manali,Manali,Mountain,3.2,9122,Mid-range,Positive
Sarovar Manali,Manali,Mountain,3.5,4086,Mid-range,Positive
Marriott Manali,Manali,Mountain,3.6,9785,Mid-range,Positive
Leela Manali,Manali,Mountain,3.4,11309,Mid-range,Positive
Hilton Manali,Manali,Mountain,3.3,7236,Mid-range,Positive
OYO Premium Manali,Manali,Mountain,3.7,18020,Luxury,Negative
Marriott Manali,Manali,Mountain,4.4,7301,Mid-range,Neutral
Taj Shimla,Shimla,Mountain,3.5,24946,Luxury,Negative
Hilton Shimla,Shimla,Mountain,3.6,2709,Budget,Negative
ITC Shimla,Shimla,Mountain,4.1,17496,Luxury,Positive
Radisson Shimla,Shimla,Mountain,4.3,7188,Mid-range,Neutral
Leela Shimla,Shimla,Mountain,4.6,7190,Mid-range,Positive
Oberoi Shimla,Shimla,Mountain,4.1,16387,Luxury,Positive
Treebo Leh-Ladakh,Leh-Ladakh,Mountain,3.4,9038,Mid-range,Positive
Marriott Leh-Ladakh,Leh-Ladakh,Mountain,3.4,9160,Mid-range,Neutral
Ginger Leh-Ladakh,Leh-Ladakh,Mountain,4.3,6822,Mid-range,Positive
Taj Leh-Ladakh,Leh-Ladakh,Mountain,4.0,10842,Mid-range,Neutral
Leela Leh-Ladakh,Leh-Ladakh,Mountain,3.2,9515,Mid-range,Negative
Sarovar Leh-Ladakh,Leh-Ladakh,Mountain,3.5,17850,Luxury,Positive
Treebo Darjeeling,Darjeeling,Mountain,3.5,13640,Luxury,Negative
Sarovar Darjeeling,Darjeeling,Mountain,4.8,22584,Luxury,Neutral
Treebo Darjeeling,Darjeeling,Mountain,4.4,8053,Mid-range,Neutral
Marriott Darjeeling,Darjeeling,Mountain,4.6,22346,Luxury,Neutral
Leela Darjeeling,Darjeeling,Mountain,4.6,23487,Luxury,Neutral
Sarovar Darjeeling,Darjeeling,Mountain,3.2,1716,Budget,Neutral
Novotel Darjeeling,Darjeeling,Mountain,3.6,8172,Mid-range,Positive
ITC Darjeeling,Darjeeling,Mountain,3.4,16821,Luxury,Neutral
Taj Darjeeling,Darjeeling,Mountain,3.4,13106,Luxury,Positive
Lemon Tree Mussoorie,Mussoorie,Mountain,3.6,18442,Luxury,Positive
Leela Mussoorie,Mussoorie,Mountain,3.5,10141,Mid-range,Positive
Radisson Mussoorie,Mussoorie,Mountain,4.0,24503,Luxury,Negative
Leela Mussoorie,Mussoorie,Mountain,4.0,20178,Luxury,Positive
Taj Mussoorie,Mussoorie,Mountain,4.4,6088,Mid-range,Positive
ITC Mussoorie,Mussoorie,Mountain,3.1,19561,Luxury,Negative
Sarovar Mussoorie,Mussoorie,Mountain,4.8,23917,Luxury,Positive
Treebo Mussoorie,Mussoorie,Mountain,3.7,23897,Luxury,Positive
Ginger Mussoorie,Mussoorie,Mountain,4.7,24145,Luxury,Positive
Lemon Tree Mumbai,Mumbai,City,4.0,7809,Mid-range,Positive
FabHotel Mumbai,Mumbai,City,4.4,23499,Luxury,Positive
OYO Premium Mumbai,Mumbai,City,4.3,6409,Mid-range,Positive
Ginger Mumbai,Mumbai,City,4.8,13680,Luxury,Neutral
Taj Mumbai,Mumbai,City,4.4,4710,Mid-range,Positive
FabHotel Mumbai,Mumbai,City,4.6,20519,Luxury,Negative
Hilton Delhi,Delhi,City,4.0,13516,Luxury,Neutral
Taj Delhi,Delhi,City,3.8,3167,Budget,Positive
ITC Delhi,Delhi,City,3.8,9442,Mid-range,Positive
Lemon Tree Delhi,Delhi,City,3.7,17292,Luxury,Positive
Sarovar Delhi,Delhi,City,4.2,8233,Mid-range,Positive
Marriott Delhi,Delhi,City,3.6,2412,Budget,Positive
Taj Bangalore,Bangalore,City,3.5,20954,Luxury,Negative
Lemon Tree Bangalore,Bangalore,City,3.1,3505,Budget,Positive
Ginger Bangalore,Bangalore,City,3.3,17938,Luxury,Positive
Oberoi Bangalore,Bangalore,City,3.6,13633,Luxury,Neutral
Ginger Bangalore,Bangalore,City,4.5,11687,Mid-range,Positive
FabHotel Bangalore,Bangalore,City,4.7,24122,Luxury,Neutral
Taj Jaipur,Jaipur,City,3.3,5572,Mid-range,Positive
Sarovar Jaipur,Jaipur,City,3.4,3706,Budget,Negative
Taj Jaipur,Jaipur,City,4.5,23939,Luxury,Positive
Radisson Jaipur,Jaipur,City,3.1,18655,Luxury,Positive
ITC Jaipur,Jaipur,City,3.0,19309,Luxury,Positive
Hyatt Jaipur,Jaipur,City,3.6,3712,Budget,Negative
Hilton Kolkata,Kolkata,City,4.5,1903,Budget,Neutral
Marriott Kolkata,Kolkata,City,3.9,5570,Mid-range,Positive
FabHotel Kolkata,Kolkata,City,4.8,23804,Luxury,Positive
FabHotel Kolkata,Kolkata,City,4.0,16207,Luxury,Negative
Hyatt Kolkata,Kolkata,City,4.2,17573,Luxury,Negative
Oberoi Kolkata,Kolkata,City,4.2,2123,Budget,Negative
Hilton Rishikesh,Rishikesh,Adventure,4.3,10621,Mid-range,Positive
ITC Rishikesh,Rishikesh,Adventure,4.3,20785,Luxury,Neutral
OYO Premium Rishikesh,Rishikesh,Adventure,3.4,22775,Luxury,Positive
Ginger Rishikesh,Rishikesh,Adventure,3.1,10365,Mid-range,Neutral
Lemon Tree Rishikesh,Rishikesh,Adventure,3.6,3172,Budget,Neutral
FabHotel Rishikesh,Rishikesh,Adventure,3.5,9504,Mid-range,Positive
FabHotel Rishikesh,Rishikesh,Adventure,4.3,17873,Luxury,Negative
Marriott Rishikesh,Rishikesh,Adventure,4.9,11321,Mid-range,Positive
Hyatt Rishikesh,Rishikesh,Adventure,4.6,19139,Luxury,Negative
Marriott Bir Billing,Bir Billing,Adventure,4.6,10242,Mid-range,Positive
Sarovar Bir Billing,Bir Billing,Adventure,3.5,14703,Luxury,Neutral
